Cantón;Provincia;Votos por Noboa (absoluto);Votos por González (absoluto);Votos por Noboa (porcentaje);Votos por González (porcentaje);Población;Porcentaje población indígena;Agua red pública;Electricidad;PIB per cápita;Tasa Homicidios;Altitud;Costa;Sierra;Oriente;Insular
Camilo Ponce Enriquez;Azuay;5771;8428;40.64;59.36;24226;1.2;89;98.9;13037;239.6;362;0;1;0;0
Chordeleg;Azuay;4157;2962;58.39;41.61;12521;0.2;94;98.2;1453;0;2220;0;1;0;0
Cuenca;Azuay;219817;115362;65.58;34.42;615768;1.5;97.1;99.2;6763;2.74;2560;0;1;0;0
El Pan;Azuay;837;1171;41.68;58.32;2810;0.1;85.5;98.6;1428;0;2250;0;1;0;0
Girón;Azuay;5641;1978;74.04;25.96;12578;0.6;91.5;98.3;1632;8.01;2316;0;1;0;0
Guachapala;Azuay;1099;1164;48.56;51.44;3645;1.3;95;97.7;1403;0;2350;0;1;0;0
Gualaceo;Azuay;14377;9715;59.68;40.32;44774;1.4;93.4;97.6;2579;2.24;2330;0;1;0;0
Nabón;Azuay;4820;4845;49.87;50.13;15103;38.1;89.3;95.5;1539;0;3000;0;1;0;0
Oña;Azuay;1452;1145;55.91;44.09;3531;1;86.1;96;1724;0;2400;0;1;0;0
Paute;Azuay;8856;7256;54.97;45.03;27442;1;90.5;98.4;2343;3.65;2133;0;1;0;0
Pucará;Azuay;2262;3349;40.31;59.69;9918;0.2;78.4;94.8;2869;61.07;3200;0;1;0;0
San Fernando;Azuay;2004;835;70.59;29.41;3802;0.4;87.6;99.3;1538;0;2655;0;1;0;0
Santa Isabel;Azuay;8363;4349;65.79;34.21;21240;0.4;83.9;96.1;2374;19.03;4000;0;1;0;0
Sevilla Del Oro;Azuay;1204;2619;31.49;68.51;4699;0.4;88.4;98.5;31661;0;2347;0;1;0;0
Sigsig;Azuay;8807;6959;55.86;44.14;26115;0.6;90.5;97.4;1267;3.86;2600;0;1;0;0
