Variable,Coeficiente,Std_Error,z_value,p_value,IC_95%_inf,IC_95%_sup
Intercept,-0.5980393328939129,0.025194469024737577,-23.736929415210884,1.499380629696251e-124,-0.6474195847920085,-0.5486590809958173
pob_indigena_pct,0.0034691618350056077,5.74051968564449e-05,60.43288804811622,0.0,0.0033566497166415436,0.003581673953369672
log_pib_pc,0.03336387541059598,0.0017000954666095433,19.624707003738266,9.512387827032957e-86,0.03003174952576146,0.036696001295430505
costa,0.3331188022459091,0.004226494782420265,78.81680195879754,0.0,0.3248350246915189,0.3414025798002993
amazonia,-0.3403227137035797,0.004726095429376034,-72.00927674634598,0.0,-0.3495856905326561,-0.3310597368745033
agua_publica,-0.01088364081294479,5.562168267044424e-05,-195.67262783885616,0.0,-0.010992657307738376,-0.010774624318151203
electricidad,0.015008381309189632,0.00027897269333191645,53.79874685918791,0.0,0.014461604877588938,0.015555157740790325
tasa_homicidios,0.0027772361871736444,2.662216594244791e-05,104.3204445940839,0.0,0.002725057700735998,0.002829414673611291
altitud,-2.9568741623569368e-05,1.7113012027805342e-06,-17.278513902477172,6.828484911298745e-67,-3.292283034771929e-05,-2.6214652899419445e-05
log_poblacion,-0.05701315739533875,0.0006309258755170438,-90.36427194972225,0.0,-0.058249749388266554,-0.055776565402410945
